netmember-avg-friend-count,all-persons-avg-friend-count
5.55696202531646,3.96677740863787
5.23076923076923,3.95348837209302
5.51315789473684,3.98671096345515
5.21348314606742,3.98671096345515
5.43589743589744,3.9734219269103
5.32926829268293,4
5.42857142857143,3.98671096345515
5.14772727272727,3.99335548172757
5.4875,3.9734219269103
5.55,3.96677740863787
5.44736842105263,3.9734219269103
5.62820512820513,3.9734219269103
5.31325301204819,3.96677740863787
5.6375,3.98006644518272
5.3,3.98006644518272
5.3,3.99335548172757
5.37179487179487,3.96677740863787
5.42666666666667,3.96677740863787
5.58974358974359,3.96677740863787
5.25925925925926,3.95348837209302
5.48684210526316,3.96013289036545
5.05494505494505,3.96013289036545
5.56962025316456,3.9734219269103
5.4625,3.98671096345515
5.45238095238095,3.99335548172757
5.45238095238095,3.98006644518272
5.54878048780488,3.99335548172757
5.3,3.99335548172757
5.26666666666667,3.9734219269103
5.21348314606742,3.98671096345515
5.21978021978022,3.99335548172757
5.25287356321839,3.98006644518272
5.8,3.9734219269103
5.53164556962025,3.9468438538206
5.44047619047619,3.98006644518272
5.40506329113924,3.98671096345515
5.8961038961039,3.98671096345515
5.59259259259259,3.99335548172757
5.84722222222222,3.99335548172757
5.32098765432099,3.95348837209302
5.67123287671233,3.96677740863787
5.45205479452055,3.9734219269103
5.32142857142857,3.98671096345515
5.41463414634146,3.98671096345515
5.17441860465116,3.98006644518272
5.26506024096386,3.9734219269103
5.49411764705882,3.98006644518272
5.07142857142857,3.96013289036545
5.59302325581395,3.98671096345515
5.24390243902439,3.98006644518272
5.525,4
5.51948051948052,3.96677740863787
5.34615384615385,3.9734219269103
5.5,3.98006644518272
5.76923076923077,3.98006644518272
5.44578313253012,3.98006644518272
5.5,3.99335548172757
5.1219512195122,3.98671096345515
5.25301204819277,3.98671096345515
5.25555555555556,3.9468438538206
5.32926829268293,3.9734219269103
5.64556962025316,3.9734219269103
5.66233766233766,3.99335548172757
5.64102564102564,3.98671096345515
5.55952380952381,3.99335548172757
5.39240506329114,3.98671096345515
5.48235294117647,3.98671096345515
5.15189873417722,3.9734219269103
5.47560975609756,3.98006644518272
5.37209302325581,3.98671096345515
5.1625,3.99335548172757
5.45977011494253,3.98006644518272
5.64556962025316,3.99335548172757
5.32051282051282,3.9734219269103
5.5974025974026,3.99335548172757
5.51851851851852,3.9734219269103
5.67901234567901,3.98671096345515
5.40697674418605,3.98671096345515
5.50602409638554,3.98671096345515
5.39240506329114,3.98006644518272
5.35294117647059,3.98006644518272
5.42682926829268,3.99335548172757
5.4025974025974,3.98006644518272
5.575,3.96677740863787
5.30487804878049,3.98671096345515
5.39759036144578,3.9734219269103
5.46987951807229,3.98006644518272
5.43333333333333,3.9734219269103
5.18292682926829,3.98671096345515
5.5679012345679,3.98671096345515
5.72727272727273,3.98006644518272
5.60493827160494,4
5.6125,3.99335548172757
5.36585365853659,3.98006644518272
5.33333333333333,3.96013289036545
5.75,3.98006644518272
5.3953488372093,3.9734219269103
5.45882352941176,3.98006644518272
5.30864197530864,3.95348837209302
5.69333333333333,3.96013289036545
