margin,manufacturing-cost,number-of-friendships,monthly-fee,random-join?,number-of-persons,network-profit,network-sale-revenue,network-fee-revenue,network-sponsor-cost,network-manufacturing-cost
0.01,0.4,300,100,FALSE,300,38660,70543.44,800,4181.29,28502.4
0.01,0.4,300,100,FALSE,300,15973,27013.14,300,425.98,10914.4
0.01,0.4,300,100,FALSE,300,14868,25245,200,377.38,10200
0.01,0.4,300,100,FALSE,300,18446,32256.18,400,1177.85,13032.8
0.01,0.4,300,100,FALSE,300,16756,29250.54,300,975.83,11818.4
0.01,0.4,300,100,FALSE,300,26976,46343.88,500,1143.37,18724.8
0.01,0.4,300,100,FALSE,300,19646,33647.13,400,806.65,13594.8
0.01,0.4,300,100,FALSE,300,10244,17037.9,100,10.32,6884
0.01,0.4,300,100,FALSE,300,21367,35888.49,300,321.32,14500.4
0.02,0.4,300,100,FALSE,300,21975,38196.48,500,1130.88,15590.4
0.01,0.4,300,100,FALSE,300,22133,37704.15,600,937.13,15234
0.02,0.4,300,100,FALSE,300,14460,24776.36,200,403.54,10112.8
0.02,0.4,300,100,FALSE,300,18021,31242.4,300,769.38,12752
0.02,0.4,300,100,FALSE,300,16177,28485.66,300,981.72,11626.8
0.02,0.4,300,100,FALSE,300,20618,35912.1,500,1135.81,14658
0.02,0.4,300,100,FALSE,300,33330,60597.32,600,3134.17,24733.6
0.02,0.4,300,100,FALSE,300,19991,34419.56,400,779.9,14048.8
0.02,0.4,300,100,FALSE,300,20515,35643.58,400,979.69,14548.4
0.02,0.4,300,100,FALSE,300,19809,34229.44,400,849.58,13971.2
0.02,0.4,300,100,FALSE,300,29479,52047.8,500,1825.18,21244
0.03,0.4,300,100,FALSE,300,13138,22180.99,300,196.23,9146.8
0.03,0.4,300,100,FALSE,300,18605,32681.24,300,899.75,13476.8
0.03,0.4,300,100,FALSE,300,20753,36388.58,500,1130.26,15005.6
0.03,0.4,300,100,FALSE,300,24768,44781.02,600,2146.19,18466.4
0.03,0.4,300,100,FALSE,300,22867,39664.27,600,1040.81,16356.4
0.03,0.4,300,100,FALSE,300,16372,28299.75,300,557.59,11670
0.03,0.4,300,100,FALSE,300,21775,37680.62,400,767.47,15538.4
0.03,0.4,300,100,FALSE,300,21660,38337.31,400,1267.72,15809.2
0.03,0.4,300,100,FALSE,300,25802,49154.75,500,3582.46,20270
0.03,0.4,300,100,FALSE,300,18134,32487.24,300,1256.57,13396.8
