margin,manufacturing-cost,number-of-friendships,monthly-fee,random-join?,number-of-persons,network-profit,network-sale-revenue,network-fee-revenue,network-sponsor-cost,network-manufacturing-cost
0.01,0.2,300,100,FALSE,300,22814,28891.17,200,440.64,5836.6
0.01,0.2,300,100,FALSE,300,17240,21601.8,200,197.95,4364
0.01,0.2,300,100,FALSE,300,16390,20629.62,200,271.7,4167.6
0.01,0.2,300,100,FALSE,300,26984,34465.86,300,818.75,6962.8
0.01,0.2,300,100,FALSE,300,16818,21120.66,200,236.34,4266.8
0.01,0.2,300,100,FALSE,300,25469,32470.02,400,841.14,6559.6
0.01,0.2,300,100,FALSE,300,28616,36226.08,400,691.28,7318.4
0.01,0.2,300,100,FALSE,300,16064,20152.44,200,217.16,4071.2
0.01,0.2,300,100,FALSE,300,33449,43496.64,500,1760.79,8787.2
0.01,0.2,300,100,FALSE,300,21952,28106.1,300,775.84,5678
0.02,0.2,300,100,FALSE,300,28563,35868.98,300,285.8,7320.2
0.02,0.2,300,100,FALSE,300,16185,20015.52,400,145.49,4084.8
0.02,0.2,300,100,FALSE,300,35377,45664.08,600,1567.9,9319.2
0.02,0.2,300,100,FALSE,300,30348,38698.24,400,852.38,7897.6
0.02,0.2,300,100,FALSE,300,22794,28878.64,400,590.96,5893.6
0.02,0.2,300,100,FALSE,300,23854,30220.26,400,599.04,6167.4
0.02,0.2,300,100,FALSE,300,35173,47204.64,500,2897.82,9633.6
0.02,0.2,300,100,FALSE,300,25640,32848.62,300,805.02,6703.8
0.02,0.2,300,100,FALSE,300,25596,33065.2,300,1021.11,6748
0.03,0.2,300,100,FALSE,300,22936,29921.59,400,1215.97,6169.4
0.02,0.2,300,100,FALSE,300,45824,59402.7,800,2255.31,12123
0.03,0.2,300,100,FALSE,300,27858,36401.19,400,1438.24,7505.4
0.03,0.2,300,100,FALSE,300,27168,35178.02,300,1057.04,7253.2
0.03,0.2,300,100,FALSE,300,18127,23019.07,200,346.08,4746.2
0.03,0.2,300,100,FALSE,300,21520,27722.6,300,786.64,5716
0.03,0.2,300,100,FALSE,300,35549,45378.54,600,1073.22,9356.4
0.03,0.2,300,100,FALSE,300,33544,43499.65,500,1486.85,8969
0.03,0.2,300,100,FALSE,300,29122,37792.17,400,1277.87,7792.2
0.03,0.2,300,100,FALSE,300,32059,41692.54,400,1437.29,8596.4
0.03,0.2,300,100,FALSE,300,44678,58198.06,600,2120.79,11999.6
0.04,0.2,300,100,FALSE,300,34545,46167.36,600,2604.66,9618.2
0.04,0.2,300,100,FALSE,300,20722,27081.6,300,1017.98,5642
0.04,0.2,300,100,FALSE,300,35245,46901.76,600,2485.88,9771.2
0.04,0.2,300,100,FALSE,300,28391,36605.76,500,1088.1,7626.2
0.04,0.2,300,100,FALSE,300,45169,59975.04,700,3011.14,12494.8
0.04,0.2,300,100,FALSE,300,37307,48377.28,600,1591.46,10078.6
0.04,0.2,300,100,FALSE,300,41321,53993.28,700,2123.28,11248.6
0.04,0.2,300,100,FALSE,300,43109,56557.44,700,2365.47,11782.8
0.04,0.2,300,100,FALSE,300,26805,34478.4,400,889.97,7183
0.04,0.2,300,100,FALSE,300,34749,45153.6,500,1497.16,9407
0.05,0.2,300,100,FALSE,300,51169,67118.45,700,2519.57,14130.2
0.05,0.2,300,100,FALSE,300,30361,38591.85,400,506.64,8124.6
0.05,0.2,300,100,FALSE,300,55575,73465.4,1000,3424.45,15466.4
0.05,0.2,300,100,FALSE,300,38033,49839.85,800,2114.7,10492.6
0.05,0.2,300,100,FALSE,300,55342,77169.45,1000,6581.39,16246.2
0.05,0.2,300,100,FALSE,300,21927,28513.3,400,984,6002.8
0.05,0.2,300,100,FALSE,300,47208,61802.25,700,2283.12,13011
0.05,0.2,300,100,FALSE,300,61155,81584.1,1200,4453.04,17175.6
0.05,0.2,300,100,FALSE,300,25533,33699.35,400,1471.88,7094.6
0.05,0.2,300,100,FALSE,300,67636,91011.9,1200,5415.06,19160.4
0.06,0.2,300,100,FALSE,300,62067,82746.32,1400,4474.04,17605.6
0.06,0.2,300,100,FALSE,300,51265,68613.42,1000,3749.93,14598.6
0.06,0.2,300,100,FALSE,300,38594,49826.58,800,1431.5,10601.4
0.06,0.2,300,100,FALSE,300,65177,88777.36,1100,5811.44,18888.8
0.06,0.2,300,100,FALSE,300,62041,81297.78,1000,2959.82,17297.4
0.06,0.2,300,100,FALSE,300,43978,58802.64,700,3012.98,12511.2
0.06,0.2,300,100,FALSE,300,54733,72560.48,1100,3488.77,15438.4
0.06,0.2,300,100,FALSE,300,54172,72994.76,1200,4492.25,15530.8
0.06,0.2,300,100,FALSE,300,55539,75678.46,1200,5237.24,16101.8
0.06,0.2,300,100,FALSE,300,31313,40649.36,500,1187.85,8648.8
0.07,0.2,300,100,FALSE,300,62485,83294.52,1200,4097.05,17912.8
0.07,0.2,300,100,FALSE,300,61330,84459.81,1400,6366.4,18163.4
0.07,0.2,300,100,FALSE,300,49157,65714.73,900,3325.16,14132.2
0.07,0.2,300,100,FALSE,300,57914,76667.34,1000,3265.52,16487.6
