margin,manufacturing-cost,number-of-friendships,monthly-fee,random-join?,number-of-persons,network-profit,network-sale-revenue,network-fee-revenue,network-sponsor-cost,network-manufacturing-cost
0.08,0.8,300,100,TRUE,300,10336,111599.68,2000,6220.37,97043.2
0.09,0.8,300,100,TRUE,300,7921,131412.19,2400,10364.16,115527.2
0.09,0.8,300,100,TRUE,300,8882,124917.52,2300,8517.99,109817.6
0.09,0.8,300,100,TRUE,300,9077,115620.96,2100,6999.12,101644.8
0.09,0.8,300,100,TRUE,300,10345,133454.23,2400,8187.33,117322.4
0.09,0.8,300,100,TRUE,300,11268,140038.08,2600,8260.12,123110.4
0.09,0.8,300,100,TRUE,300,7231,128913.33,2100,10452.23,113330.4
0.09,0.8,300,100,TRUE,300,10096,117069.68,2000,6055.04,102918.4
0.09,0.8,300,100,TRUE,300,7526,127764,2600,10518.15,112320
0.09,0.8,300,100,TRUE,300,10861,139122.62,2500,8456.5,122305.6
0.1,0.8,300,100,TRUE,300,11020,161959.5,3700,10675.57,143964
0.1,0.8,300,100,TRUE,300,10802,144859.5,2900,8193.72,128764
0.1,0.8,300,100,TRUE,300,10495,158929.2,3000,10164.18,141270.4
0.1,0.8,300,100,TRUE,300,8622,126392.4,2800,8221.59,112348.8
0.1,0.8,300,100,TRUE,300,10820,151653.6,3100,9130.44,134803.2
0.1,0.8,300,100,TRUE,300,7897,155083.5,2600,11934.67,137852
0.1,0.8,300,100,TRUE,300,7346,141442.2,2600,10969.74,125726.4
0.1,0.8,300,100,TRUE,300,8980,158574.6,2900,11539.66,140955.2
0.1,0.8,300,100,TRUE,300,11611,148167,3000,7852.4,131704
0.1,0.8,300,100,TRUE,300,11194,158796.9,3100,9549.91,141152.8
0.11,0.8,300,100,TRUE,300,6541,142466.75,2500,10366.19,128060
0.11,0.8,300,100,TRUE,300,7871,137783.57,2900,8961.73,123850.4
0.11,0.8,300,100,TRUE,300,10095,176032.21,3500,11205.63,158231.2
0.11,0.8,300,100,TRUE,300,8820,156426.4,3000,9998.43,140608
0.11,0.8,300,100,TRUE,300,8626,158031.07,3200,10554.53,142050.4
0.11,0.8,300,100,TRUE,300,7710,154233.44,2700,10587.03,138636.8
0.11,0.8,300,100,TRUE,300,9276,154553.84,3100,9453.23,138924.8
0.11,0.8,300,100,TRUE,300,9549,157468.59,3600,9974.78,141544.8
0.11,0.8,300,100,TRUE,300,5828,135971.53,2400,10321.85,122221.6
0.11,0.8,300,100,TRUE,300,6652,142860.13,2600,10394.51,128413.6
0.12,0.8,300,100,TRUE,300,7805,171431.92,3400,11179.6,155847.2
0.12,0.8,300,100,TRUE,300,10130,176104.72,4000,9879.41,160095.2
0.12,0.8,300,100,TRUE,300,9325,171702.96,3900,10184.29,156093.6
0.12,0.8,300,100,TRUE,300,5907,170004.56,3200,12748.26,154549.6
