margin,manufacturing-cost,number-of-friendships,monthly-fee,random-join?,number-of-persons,network-profit,network-sale-revenue,network-fee-revenue,network-sponsor-cost,network-manufacturing-cost
0.09,0.2,300,100,TRUE,300,106905,142246.65,3000,7079.12,31263
0.09,0.2,300,100,TRUE,300,108388,148404.62,2300,9700.4,32616.4
0.09,0.2,300,100,TRUE,300,110294,149584.89,2900,9314.77,32875.8
0.09,0.2,300,100,TRUE,300,72109,96343.52,1800,4860.48,21174.4
0.09,0.2,300,100,TRUE,300,104191,142812.67,2400,9634.32,31387.4
0.09,0.2,300,100,TRUE,300,86316,118409.2,2300,8368.96,26024
0.09,0.2,300,100,TRUE,300,90889,124862.92,2300,8831.77,27442.4
0.09,0.2,300,100,TRUE,300,116030,158583.88,2400,10100.05,34853.6
0.09,0.2,300,100,TRUE,300,83691,112389.55,2000,5997.16,24701
0.09,0.2,300,100,TRUE,300,90050,123625.32,2100,8504.71,27170.4
0.1,0.2,300,100,TRUE,300,120867,164544.3,2900,10011.6,36565.4
0.1,0.2,300,100,TRUE,300,114608,154768.5,2900,8667.13,34393
0.1,0.2,300,100,TRUE,300,89804,126635.4,2900,11590.57,28141.2
0.1,0.2,300,100,TRUE,300,110128,144738.9,2900,5346.81,32164.2
0.1,0.2,300,100,TRUE,300,104584,147608.1,2700,12922.44,32801.8
0.1,0.2,300,100,TRUE,300,110871,149409,2900,8235.83,33202
0.1,0.2,300,100,TRUE,300,112915,153440.1,3200,9627.04,34097.8
0.1,0.2,300,100,TRUE,300,86992,117750.6,2300,6891.99,26166.8
0.1,0.2,300,100,TRUE,300,113097,156900.6,2900,11836.47,34866.8
0.1,0.2,300,100,TRUE,300,93509,128585.7,2400,8901.86,28574.6
0.11,0.2,300,100,TRUE,300,112863,151682.7,2800,7533.53,34086
0.11,0.2,300,100,TRUE,300,113692,158592.66,3100,12361.52,35638.8
0.11,0.2,300,100,TRUE,300,101014,137445.37,2600,8144.66,30886.6
0.11,0.2,300,100,TRUE,300,114566,157002.23,3100,10254.92,35281.4
0.11,0.2,300,100,TRUE,300,103653,140971.55,2800,8439.17,31679
0.11,0.2,300,100,TRUE,300,120409,171687.23,2800,15496.88,38581.4
0.11,0.2,300,100,TRUE,300,130959,175993.05,3500,8985.54,39549
0.11,0.2,300,100,TRUE,300,130836,180557.86,3400,12547.47,40574.8
0.11,0.2,300,100,TRUE,300,121314,168538.41,3300,12650.67,37873.8
0.11,0.2,300,100,TRUE,300,129028,173986.99,3800,9660.52,39098.2
0.12,0.2,300,100,TRUE,300,118233,164556.48,3400,12324.48,37399.2
0.12,0.2,300,100,TRUE,300,129779,178731.52,3700,12031.8,40620.8
0.12,0.2,300,100,TRUE,300,132137,181275.6,3900,11839.39,41199
0.12,0.2,300,100,TRUE,300,126687,175613.68,3600,12614.08,39912.2
0.12,0.2,300,100,TRUE,300,118736,161806.48,3300,9596.3,36774.2
0.12,0.2,300,100,TRUE,300,117866,161543.36,3700,10663.38,36714.4
0.12,0.2,300,100,TRUE,300,117677,165695.2,3500,13860.31,37658
0.12,0.2,300,100,TRUE,300,132433,182180.24,3900,12243.06,41404.6
0.12,0.2,300,100,TRUE,300,132047,179575.44,3600,10315.44,40812.6
0.13,0.2,300,100,TRUE,300,139652,191533.98,4400,12250.85,44030.8
