all-persons-avg-friend-count,bottleneck-avg-friend-count,all-persons-avg-be-point,bottleneck-avg-be-point
2.99667774086379,2.57142857142857,1039.62956810631,1671.28571428571
2.99667774086379,2.28571428571429,1142.78073089701,1820.42857142857
3.00332225913621,2.77777777777778,1124.53322259136,2440.33333333333
2.98338870431894,2.33333333333333,1017.04485049834,1589.22222222222
2.99667774086379,2.71428571428571,1111.48504983389,2311.78571428571
2.99667774086379,2.5,1036.45681063123,1437.5
2.99667774086379,2.66666666666667,1018.78239202658,1547
3.00332225913621,2.7,1076.31561461794,1903
3.00332225913621,2.625,1101.41362126246,2255.25
2.99667774086379,2.64285714285714,1026.85548172757,1776.64285714286
3.00332225913621,2.75,1015.29734219269,1809.75
2.97674418604651,2.42857142857143,983.799003322259,1534.85714285714
3.00332225913621,2.35714285714286,1051.25747508306,1613.92857142857
2.99003322259136,2.6,1089.91196013289,1736.4
2.98338870431894,2.66666666666667,1047.74252491694,2180
2.99667774086379,2.75,1103.73920265781,1912.25
3.00332225913621,2.54545454545455,985.609634551495,1868.63636363636
3.00332225913621,2.23076923076923,1108.80398671096,2130.30769230769
3.00332225913621,2.42857142857143,979.642857142857,1796
2.99667774086379,2.57142857142857,1027.81395348837,1720.42857142857
3.00332225913621,2.33333333333333,1025.86544850498,1967.66666666667
2.99667774086379,2.5,1057.09634551495,1942.96428571429
2.99667774086379,2.38461538461538,1050.86710963455,1646.73076923077
2.99667774086379,2.38461538461538,1094.59468438538,1556.15384615385
2.99667774086379,2.54545454545455,1027.74086378738,1915.54545454545
2.98338870431894,2.625,1073.56478405316,1603.8125
2.99667774086379,2.5,1040.36544850498,1373
2.99667774086379,2.45454545454545,1032.22093023256,2346.27272727273
2.99003322259136,2.33333333333333,1014.26411960133,1451.16666666667
2.97674418604651,2.1,1097.58637873754,1945.5
2.98338870431894,2.25,1004.43687707641,1418.16666666667
3.00332225913621,2.41666666666667,1003.38870431894,1959.41666666667
2.99667774086379,2.35714285714286,1072.35382059801,1450.14285714286
3.00332225913621,2.33333333333333,1101.1976744186,1727.25
2.98338870431894,2.57142857142857,1034.17774086379,1687.14285714286
2.98338870431894,2.71428571428571,1039.25747508306,1659.42857142857
2.97674418604651,2.44444444444444,1079.9950166113,1889
2.99667774086379,2.63636363636364,1061.99833887043,1806.95454545455
3.00332225913621,2.66666666666667,1037.93355481728,2010.83333333333
2.99003322259136,2.70588235294118,1031.99335548173,1637.91176470588
3.00332225913621,2.4375,1005.76411960133,1624.25
2.98338870431894,2.44444444444444,1079.39202657807,2149.44444444444
2.98338870431894,2.66666666666667,1016.11295681063,1801.33333333333
3.00332225913621,2.25,1113.19601328904,2280.375
2.99667774086379,2.57142857142857,1127.23588039867,1459.5
2.99667774086379,2.28571428571429,984.098006644518,1344.07142857143
2.99667774086379,2.44444444444444,1031.86046511628,1553.66666666667
2.99667774086379,2.375,1012.14451827243,1725.9375
2.99667774086379,2.5,1069.29568106312,1490.16666666667
2.99003322259136,2.3,1054.49833887043,1806.2
3.00332225913621,4,1056.16943521595,1638
2.99003322259136,2.5,993.156146179402,1376.16666666667
2.99003322259136,2.4,1071.71262458472,1750.9
