"BehaviorSpace results (NetLogo 4.1.2)"
"oriflame7.nlogo"
"max-profit1"
"05/03/2011 14:19:07:568 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-37","37","-37","37"
"[run number]","margin","manufacturing-cost","number-of-friendships","monthly-fee","random-join?","number-of-persons","[step]","network-profit","network-sale-revenue","network-fee-revenue","network-sponsor-cost","network-manufacturing-cost"
"65","0.06999999999999999","0.8","300","100","true","300","46","10648","76654.32","1400","1467.2299999999996","65939.2"
"67","0.06999999999999999","0.8","300","100","true","300","54","11649","82089.24","1400","1226.1399999999994","70614.40000000001"
"68","0.06999999999999999","0.8","300","100","true","300","40","10050","83155.02","1500","3074.17","71531.2"
"70","0.06999999999999999","0.8","300","100","true","300","33","4565","29507.04","500","59.700000000000045","25382.4"
"69","0.06999999999999999","0.8","300","100","true","300","64","12432","103406.70000000001","1800","3822.96","88952"
"71","0.08","0.8","300","100","true","300","32","9350","67491.2","1200","653.409999999999","58688"
"72","0.08","0.8","300","100","true","300","49","8969","98957.96","1900","5838.9","86050.40000000001"
"74","0.08","0.8","300","100","true","300","45","11855","89893.2","1500","1369.8099999999995","78168"
"73","0.08","0.8","300","100","true","300","52","10318","104152.28","2200","5467.179999999999","90567.20000000001"
"75","0.08","0.8","300","100","true","300","66","12025","95278.88","1700","2102.3600000000006","82851.20000000001"
"76","0.08","0.8","300","100","true","300","60","9539","90032.12000000001","1600","3804.130000000001","78288.8"
"77","0.08","0.8","300","100","true","300","57","12193","110822.28","2100","4362.29","96367.20000000001"
"78","0.08","0.8","300","100","true","300","49","14491","122454.76000000001","2500","3981.0200000000004","106482.40000000001"
"79","0.08","0.8","300","100","true","300","44","13799","114366.12000000001","2000","3118.3899999999994","99448.8"
"80","0.08","0.8","300","100","true","300","56","12465","119039.72","2300","5362.159999999999","103512.8"
"81","0.09","0.8","300","100","true","300","60","12118","129077.13","2200","5684.250000000001","113474.40000000001"
"82","0.09","0.8","300","100","true","300","47","15556","149681.35","3300","5837.810000000001","131588"
"83","0.09","0.8","300","100","true","300","55","12515","127608.39","2500","5409.73","112183.20000000001"
"84","0.09","0.8","300","100","true","300","64","9453","113766.38","1900","6199.009999999999","100014.40000000001"
"85","0.09","0.8","300","100","true","300","60","16508","130025.35","2400","1608.9599999999991","114308"
"86","0.09","0.8","300","100","true","300","45","14094","125484.45","2900","3974.8200000000015","110316"
"87","0.09","0.8","300","100","true","300","43","12941","130856.18000000001","2500","5377.099999999999","115038.40000000001"
"89","0.09","0.8","300","100","true","300","26","13249","118969.76000000001","2300","3432.1499999999996","104588.8"
"88","0.09","0.8","300","100","true","300","56","11713","96689.32","1800","1774.4699999999993","85001.6"
"90","0.09","0.8","300","100","true","300","44","9272","113800.05","2100","6584.23","100044"
"91","0.09999999999999999","0.8","300","100","true","300","43","12925","155268.9","3100","7426.74","138016.80000000002"
"92","0.09999999999999999","0.8","300","100","true","300","42","9483","148778.1","2800","9847.410000000002","132247.2"
"93","0.09999999999999999","0.8","300","100","true","300","42","14141","142589.7","2800","4502.490000000001","126746.40000000001"
"94","0.09999999999999999","0.8","300","100","true","300","38","12910","133554.6","2400","4329.5999999999985","118715.20000000001"
"95","0.09999999999999999","0.8","300","100","true","300","49","11647","124373.7","2300","4472.579999999999","110554.40000000001"
"96","0.09999999999999999","0.8","300","100","true","300","48","9948","145173.6","2800","8982.43","129043.20000000001"
