"BehaviorSpace results (NetLogo 4.1)"
"oriflame6.nlogo"
"bottleneck1"
"05/01/2011 17:26:56:634 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-37","37","-37","37"
"[run number]","number-of-friendships","number-of-persons","random-join?","monthly-fee","margin","[step]","all-persons-avg-friend-count","bottleneck-avg-friend-count","all-persons-avg-be-point","bottleneck-avg-be-point","count persons with [bottleneck?]","count persons with [not invited?]"
"2","150","300","false","100","0.3","1","2.9966777408637872","2.5714285714285716","1039.6295681063123","1671.2857142857142","7","11"
"1","150","300","false","100","0.3","1","2.9966777408637872","2.2857142857142856","1142.78073089701","1820.4285714285713","14","12"
"3","150","300","false","100","0.3","1","3.0033222591362128","2.7777777777777777","1124.5332225913621","2440.3333333333335","9","9"
"4","150","300","false","100","0.3","1","2.9833887043189367","2.3333333333333335","1017.0448504983389","1589.2222222222222","9","10"
"5","150","300","false","100","0.3","1","2.9966777408637872","2.7142857142857144","1111.485049833887","2311.785714285714","14","13"
"6","150","300","false","100","0.3","1","2.9966777408637872","2.5","1036.4568106312292","1437.5","10","7"
"7","150","300","false","100","0.3","1","2.9966777408637872","2.6666666666666665","1018.7823920265781","1547","6","4"
"8","150","300","false","100","0.3","1","3.0033222591362128","2.7","1076.3156146179401","1903","10","11"
"9","150","300","false","100","0.3","1","3.0033222591362128","2.625","1101.4136212624585","2255.25","16","13"
"10","150","300","false","100","0.3","1","2.9966777408637872","2.642857142857143","1026.8554817275747","1776.642857142857","14","13"
"11","150","300","false","100","0.3","1","3.0033222591362128","2.75","1015.2973421926911","1809.75","8","9"
"12","150","300","false","100","0.3","1","2.9767441860465116","2.4285714285714284","983.7990033222592","1534.857142857143","7","9"
"13","150","300","false","100","0.3","1","3.0033222591362128","2.357142857142857","1051.2574750830565","1613.9285714285713","14","14"
"14","150","300","false","100","0.3","1","2.990033222591362","2.6","1089.9119601328903","1736.4","5","5"
"15","150","300","false","100","0.3","1","2.9833887043189367","2.6666666666666665","1047.7425249169435","2180","12","13"
"16","150","300","false","100","0.3","1","2.9966777408637872","2.75","1103.7392026578073","1912.25","12","7"
"17","150","300","false","100","0.3","1","3.0033222591362128","2.5454545454545454","985.609634551495","1868.6363636363637","11","9"
"18","150","300","false","100","0.3","1","3.0033222591362128","2.230769230769231","1108.8039867109635","2130.3076923076924","13","14"
"19","150","300","false","100","0.3","1","3.0033222591362128","2.4285714285714284","979.6428571428571","1796","7","7"
"21","150","300","false","100","0.3","1","2.9966777408637872","2.5714285714285716","1027.8139534883721","1720.4285714285713","14","14"
"20","150","300","false","100","0.3","1","3.0033222591362128","2.3333333333333335","1025.8654485049833","1967.6666666666667","9","10"
"22","150","300","false","100","0.3","1","2.9966777408637872","2.5","1057.0963455149501","1942.9642857142858","14","11"
"23","150","300","false","100","0.3","1","2.9966777408637872","2.3846153846153846","1050.8671096345515","1646.7307692307693","13","14"
"24","150","300","false","100","0.3","1","2.9966777408637872","2.3846153846153846","1094.5946843853822","1556.1538461538462","13","11"
"25","150","300","false","100","0.3","1","2.9966777408637872","2.5454545454545454","1027.7408637873755","1915.5454545454545","11","13"
"26","150","300","false","100","0.3","1","2.9833887043189367","2.625","1073.5647840531562","1603.8125","8","6"
"27","150","300","false","100","0.3","1","2.9966777408637872","2.5","1040.3654485049833","1373","2","2"
"28","150","300","false","100","0.3","1","2.9966777408637872","2.4545454545454546","1032.2209302325582","2346.2727272727275","11","15"
"29","150","300","false","100","0.3","1","2.990033222591362","2.3333333333333335","1014.264119601329","1451.1666666666667","6","4"
"30","150","300","false","100","0.3","1","2.9767441860465116","2.1","1097.5863787375415","1945.5","10","11"
"31","150","300","false","100","0.3","1","2.9833887043189367","2.25","1004.436877076412","1418.1666666666667","12","11"
