"BehaviorSpace results (NetLogo 4.1.2)"
"oriflame7.nlogo"
"max-profit1"
"05/03/2011 13:41:50:030 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-37","37","-37","37"
"[run number]","margin","manufacturing-cost","number-of-friendships","monthly-fee","random-join?","number-of-persons","[step]","network-profit","network-sale-revenue","network-fee-revenue","network-sponsor-cost","network-manufacturing-cost"
"2","0.01","0.2","300","100","true","300","23","11066","13753.08","100","8.34","2778.4"
"1","0.01","0.2","300","100","true","300","17","21415","27501.21","300","830.14","5555.8"
"3","0.01","0.2","300","100","true","300","21","20362","26182.53","300","831.14","5289.400000000001"
"4","0.01","0.2","300","100","true","300","18","17888","22553.19","200","309.06","4556.2"
"5","0.01","0.2","300","100","true","300","17","23935","30865.23","400","1094.46","6235.400000000001"
"7","0.01","0.2","300","100","true","300","19","25066","32354.19","300","1052.25","6536.200000000001"
"6","0.01","0.2","300","100","true","300","19","13581","16907.22","100","10.26","3415.6000000000004"
"8","0.01","0.2","300","100","true","300","17","25992","33364.98","300","932.65","6740.400000000001"
"9","0.01","0.2","300","100","true","300","17","17966","22234.41","300","77.07","4491.8"
"10","0.01","0.2","300","100","true","300","25","10665","13250.16","100","8.04","2676.8"
"11","0.02","0.2","300","100","true","300","31","18899","23985.5","200","391.06","4895"
"12","0.02","0.2","300","100","true","300","17","17245","21819.7","300","421.96","4453"
"14","0.02","0.2","300","100","true","300","19","17393","21875.56","300","318.27","4464.400000000001"
"13","0.02","0.2","300","100","true","300","25","10763","13417.18","100","16.439999999999998","2738.2000000000003"
"16","0.02","0.2","300","100","true","300","17","31165","40430.88","400","1414.74","8251.2"
"15","0.02","0.2","300","100","true","300","26","11640","14521.64","100","17.759999999999998","2963.6000000000004"
"18","0.02","0.2","300","100","true","300","27","12993","16223.9","100","19.86","3311"
"17","0.02","0.2","300","100","true","300","20","34341","44610.58","500","1665.24","9104.2"
"19","0.02","0.2","300","100","true","300","24","14112","17686.06","200","164.24","3609.4"
"20","0.02","0.2","300","100","true","300","18","33651","43351.28","500","1353.33","8847.2"
"21","0.03","0.2","300","100","true","300","27","20145","25839.829999999998","200","567.4","5327.8"
"22","0.03","0.2","300","100","true","300","26","9245","11534.27","100","10.709999999999999","2378.2000000000003"
"23","0.03","0.2","300","100","true","300","28","9484","11848.55","100","21.96","2443"
"24","0.03","0.2","300","100","true","300","21","16537","20963.64","300","403.75","4322.400000000001"
"25","0.03","0.2","300","100","true","300","29","22523","28808.03","200","544.84","5939.8"
"27","0.03","0.2","300","100","true","300","26","24976","32479.48","300","1106.35","6696.8"
"26","0.03","0.2","300","100","true","300","19","35211","44933.31","400","858.1","9264.6"
"28","0.03","0.2","300","100","true","300","37","34128","43642.24","600","1116.12","8998.4"
"29","0.03","0.2","300","100","true","300","26","26188","33761.82","300","912.86","6961.200000000001"
"30","0.03","0.2","300","100","true","300","25","21699","27997.11","200","725.71","5772.6"
"31","0.04","0.2","300","100","true","300","18","27050","34467.84","400","636.68","7180.8"
"32","0.04","0.2","300","100","true","300","31","28750","36372.479999999996","300","345.34","7577.6"
"33","0.04","0.2","300","100","true","300","24","18032","22891.2","200","290.16","4769"
"34","0.04","0.2","300","100","true","300","32","29216","37228.799999999996","500","756.46","7756"
"35","0.04","0.2","300","100","true","300","23","26888","35299.2","400","1457.5900000000001","7354"
"36","0.04","0.2","300","100","true","300","39","26351","33582.72","300","535.71","6996.400000000001"
"38","0.04","0.2","300","100","true","300","24","14958","18596.16","300","64.27","3874.2000000000003"
"37","0.04","0.2","300","100","true","300","26","19052","24605.76","200","627.3","5126.200000000001"
"39","0.04","0.2","300","100","true","300","34","15715","19946.88","200","276.65","4155.6"
"40","0.04","0.2","300","100","true","300","33","31555","40584.96","400","974.27","8455.2"
"42","0.05","0.2","300","100","true","300","30","30340","39843.95","500","1615.39","8388.2"
"41","0.05","0.2","300","100","true","300","31","65397","87345.84999999999","1100","4660.64","18388.600000000002"
"43","0.05","0.2","300","100","true","300","69","54296","72190.5","1000","3696.35","15198"
"44","0.05","0.2","300","100","true","300","41","29738","38331.549999999996","400","924.15","8069.8"
"46","0.05","0.2","300","100","true","300","33","25728","33300.35","400","961.91","7010.6"
"45","0.05","0.2","300","100","true","300","40","48396","63049.6","700","2080.37","13273.6"
"47","0.05","0.2","300","100","true","300","30","34247","44728.85","500","1565.12","9416.6"
"48","0.05","0.2","300","100","true","300","63","39176","51609.7","800","2368.15","10865.2"
"49","0.05","0.2","300","100","true","300","53","37355","48689.399999999994","600","1684.1200000000001","10250.400000000001"
"50","0.05","0.2","300","100","true","300","63","29582","38936.7","400","1557.98","8197.2"
"51","0.060000000000000005","0.2","300","100","true","300","62","64221","88000.92","1100","6156.7300000000005","18723.600000000002"
"53","0.060000000000000005","0.2","300","100","true","300","59","58271","78033.15999999999","1000","4159.78","16602.8"
"52","0.060000000000000005","0.2","300","100","true","300","64","68212","89754.01999999999","1300","3745.4300000000003","19096.600000000002"
"54","0.060000000000000005","0.2","300","100","true","300","58","57656","78401.64","1100","5164.46","16681.2"
"55","0.060000000000000005","0.2","300","100","true","300","58","56579","73774.01999999999","1200","2698.72","15696.6"
"56","0.060000000000000005","0.2","300","100","true","300","80","57552","75931.31999999999","1000","3223.29","16155.6"
"57","0.060000000000000005","0.2","300","100","true","300","71","46856","62230.82","900","3034.5699999999997","13240.6"
"58","0.060000000000000005","0.2","300","100","true","300","59","56915","76103.34","1100","4096.450000000001","16192.2"
"59","0.060000000000000005","0.2","300","100","true","300","27","21407","27862.539999999997","300","827.06","5928.200000000001"
"60","0.060000000000000005","0.2","300","100","true","300","48","65951","89080.04","1200","5375.589999999999","18953.2"
"61","0.06999999999999999","0.2","300","100","true","300","44","71799","97984.8","1200","6313.839999999999","21072"
"62","0.06999999999999999","0.2","300","100","true","300","65","83060","113720.40000000001","1600","7804.860000000001","24456"
"63","0.06999999999999999","0.2","300","100","true","300","58","59772","81655.86","1300","5623.01","17560.4"
"64","0.06999999999999999","0.2","300","100","true","300","64","60666","81528.45","1300","4628.9800000000005","17533"
"65","0.06999999999999999","0.2","300","100","true","300","46","79528","106362.24","1700","5660.720000000001","22873.600000000002"
"66","0.06999999999999999","0.2","300","100","true","300","51","58574","79016.52","1200","4649.46","16992.8"
"67","0.06999999999999999","0.2","300","100","true","300","47","76076","102563.19","1600","6030.1900000000005","22056.600000000002"
"68","0.06999999999999999","0.2","300","100","true","300","69","74814","98134.53","1600","3816.56","21104.2"
"69","0.06999999999999999","0.2","300","100","true","300","45","70021","95891.37000000001","1400","6649","20621.800000000003"
"70","0.06999999999999999","0.2","300","100","true","300","45","41533","54999.270000000004","800","2438.26","11827.800000000001"
"72","0.08","0.2","300","100","true","300","53","93162","126675.72","2100","8075.62","27538.2"
"71","0.08","0.2","300","100","true","300","58","81627","111935.48000000001","1800","7774.9","24333.800000000003"
"73","0.08","0.2","300","100","true","300","54","87199","115766.36","2200","5600.310000000001","25166.600000000002"
"74","0.08","0.2","300","100","true","300","57","87532","120132.68000000001","2200","8685.310000000001","26115.800000000003"
"76","0.08","0.2","300","100","true","300","58","73331","98677.36","1600","5495.030000000001","21451.600000000002"
"75","0.08","0.2","300","100","true","300","69","88363","119590.8","2000","7230.2300000000005","25998"
"77","0.08","0.2","300","100","true","300","57","92965","127526.72","2100","8938.83","27723.2"
"79","0.08","0.2","300","100","true","300","64","64528","88204.08","1500","6001.4400000000005","19174.8"
"78","0.08","0.2","300","100","true","300","68","77573","106516.68000000001","1800","7588.06","23155.800000000003"
"80","0.08","0.2","300","100","true","300","53","87910","116923.72","2200","5795.59","25418.2"
"81","0.09","0.2","300","100","true","300","37","106905","142246.65","3000","7079.119999999999","31263"
"82","0.09","0.2","300","100","true","300","46","108388","148404.62","2300","9700.399999999998","32616.4"
"83","0.09","0.2","300","100","true","300","43","110294","149584.89","2900","9314.77","32875.8"
"84","0.09","0.2","300","100","true","300","45","72109","96343.52","1800","4860.4800000000005","21174.4"
"85","0.09","0.2","300","100","true","300","60","104191","142812.67","2400","9634.32","31387.4"
"86","0.09","0.2","300","100","true","300","41","86316","118409.2","2300","8368.96","26024"
"87","0.09","0.2","300","100","true","300","51","90889","124862.92","2300","8831.77","27442.4"
"88","0.09","0.2","300","100","true","300","36","116030","158583.88","2400","10100.050000000001","34853.6"
"89","0.09","0.2","300","100","true","300","54","83691","112389.55","2000","5997.16","24701"
"90","0.09","0.2","300","100","true","300","54","90050","123625.32","2100","8504.71","27170.4"
"91","0.09999999999999999","0.2","300","100","true","300","44","120867","164544.30000000002","2900","10011.6","36565.4"
"92","0.09999999999999999","0.2","300","100","true","300","40","114608","154768.5","2900","8667.13","34393"
"94","0.09999999999999999","0.2","300","100","true","300","49","89804","126635.40000000001","2900","11590.570000000002","28141.2"
"93","0.09999999999999999","0.2","300","100","true","300","44","110128","144738.9","2900","5346.8099999999995","32164.2"
