"BehaviorSpace results (NetLogo 4.1.2)"
"oriflame7.nlogo"
"max-profit1"
"05/03/2011 12:32:37:676 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-37","37","-37","37"
"[run number]","margin","manufacturing-cost","number-of-friendships","monthly-fee","random-join?","number-of-persons","[step]","network-profit","network-sale-revenue","network-fee-revenue","network-sponsor-cost","network-manufacturing-cost"
"2","0.01","0.4","300","100","false","300","7","189143","307220.76","17400","11348","124129.6"
"1","0.01","0.4","300","100","false","300","9","186218","304901.19","16300","11791","123192.40000000001"
"3","0.01","0.4","300","100","false","300","17","12320","20607.84","200","161.59","8326.4"
"4","0.01","0.4","300","100","false","300","7","179724","285860.52","19000","9637","115499.20000000001"
"5","0.01","0.4","300","100","false","300","17","17322","30441.51","300","1119.58","12299.6"
"7","0.01","0.4","300","100","false","300","16","16574","28633.77","300","790.9300000000001","11569.2"
"8","0.01","0.4","300","100","false","300","8","185784","299984.85","16300","9294.41","121206"
"9","0.01","0.4","300","100","false","300","17","23818","41547.33","600","1542.4499999999998","16786.8"
"6","0.01","0.4","300","100","false","300","16","27424","49201.02","500","2397.96","19879.2"
"10","0.01","0.4","300","100","false","300","7","193383","312119.27999999997","17700","10327.29","126108.8"
"12","0.02","0.4","300","100","false","300","16","17217","29325.52","400","539.22","11969.6"
"13","0.02","0.4","300","100","false","300","7","185666","296398.06","19900","9653.43","120978.8"
"14","0.02","0.4","300","100","false","300","17","14665","25984.7","300","1013.66","10606"
"11","0.02","0.4","300","100","false","300","16","20682","36682.38","300","1328.14","14972.400000000001"
"15","0.02","0.4","300","100","false","300","18","27336","48714.82","500","1995.54","19883.600000000002"
"16","0.02","0.4","300","100","false","300","17","18941","33019.14","300","900.94","13477.2"
"17","0.02","0.4","300","100","false","300","7","185239","303973.46","17800","12463.61","124070.8"
"18","0.02","0.4","300","100","false","300","8","185586","303125.76","15700","9515.16","123724.8"
"19","0.02","0.4","300","100","false","300","18","23805","41910.68","500","1498.85","17106.4"
"21","0.03","0.4","300","100","false","300","18","18530","32173.93","400","775.89","13267.6"
"20","0.02","0.4","300","100","false","300","17","14935","26243.42","300","896.88","10711.6"
"23","0.03","0.4","300","100","false","300","6","181848","294571.54","18800","10051","121472.8"
"22","0.03","0.4","300","100","false","300","18","16421","29207.67","300","1042.39","12044.400000000001"
"25","0.03","0.4","300","100","false","300","17","20072","34419.479999999996","500","654.2","14193.6"
"24","0.03","0.4","300","100","false","300","18","15960","27525.69","300","514.94","11350.800000000001"
"27","0.03","0.4","300","100","false","300","7","181903","295718.08","17900","9769","121945.6"
"26","0.03","0.4","300","100","false","300","16","26859","46551.27","400","895.89","19196.4"
"28","0.03","0.4","300","100","false","300","6","185131","301249.02","18400","10292","124226.40000000001"
"29","0.03","0.4","300","100","false","300","8","182229","297318.58","17100","9584","122605.6"
"31","0.04","0.4","300","100","false","300","19","29393","51504.96","600","1251.45","21460.4"
"30","0.03","0.4","300","100","false","300","17","25817","46641.479999999996","500","2090.9100000000003","19233.600000000002"
"32","0.04","0.4","300","100","false","300","7","177787","291194.88","18100","10177","121331.20000000001"
"33","0.04","0.4","300","100","false","300","18","36062","64668.479999999996","700","2361.01","26945.2"
"35","0.04","0.4","300","100","false","300","7","174104","285776.64","17600","10199","119073.6"
"34","0.04","0.4","300","100","false","300","6","179812","294264","18500","10341.779999999999","122610"
"36","0.04","0.4","300","100","false","300","8","176861","291201.6","17900","10906.380000000001","121334"
"38","0.04","0.4","300","100","false","300","18","22674","39910.08","300","907.2","16629.2"
"37","0.04","0.4","300","100","false","300","17","33216","63425.28","600","4381.689999999999","26427.2"
"39","0.04","0.4","300","100","false","300","7","180004","296520","17400","10365.76","123550"
"40","0.04","0.4","300","100","false","300","9","168451","286511.04","14700","13380.210000000001","119379.6"
"41","0.05","0.4","300","100","false","300","7","183092","302483.8","19200","11230","127361.6"
"42","0.05","0.4","300","100","false","300","7","180129","296200.5","18700","10056","124716"
"43","0.05","0.4","300","100","false","300","7","177034","293403.7","17800","10631","123538.40000000001"
"44","0.05","0.4","300","100","false","300","7","178175","295574.45","18400","11347","124452.40000000001"
