"BehaviorSpace results (NetLogo 4.1.2)"
"oriflame7.nlogo"
"max-profit1"
"05/03/2011 13:38:30:018 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-37","37","-37","37"
"[run number]","margin","manufacturing-cost","number-of-friendships","monthly-fee","random-join?","number-of-persons","[step]","network-profit","network-sale-revenue","network-fee-revenue","network-sponsor-cost","network-manufacturing-cost"
"2","0.01","0.2","300","100","false","300","24","22814","28891.17","200","440.64","5836.6"
"3","0.01","0.2","300","100","false","300","18","17240","21601.8","200","197.95","4364"
"1","0.01","0.2","300","100","false","300","19","16390","20629.62","200","271.7","4167.6"
"4","0.01","0.2","300","100","false","300","20","26984","34465.86","300","818.75","6962.8"
"6","0.01","0.2","300","100","false","300","18","16818","21120.66","200","236.34","4266.8"
"5","0.01","0.2","300","100","false","300","19","25469","32470.02","400","841.14","6559.6"
"7","0.01","0.2","300","100","false","300","17","28616","36226.08","400","691.28","7318.400000000001"
"8","0.01","0.2","300","100","false","300","21","16064","20152.44","200","217.16","4071.2000000000003"
"9","0.01","0.2","300","100","false","300","18","33449","43496.64","500","1760.79","8787.2"
"10","0.01","0.2","300","100","false","300","17","21952","28106.1","300","775.84","5678"
"11","0.02","0.2","300","100","false","300","17","28563","35868.979999999996","300","285.8","7320.200000000001"
"12","0.02","0.2","300","100","false","300","19","16185","20015.52","400","145.49","4084.8"
"13","0.02","0.2","300","100","false","300","18","35377","45664.08","600","1567.9","9319.2"
"14","0.02","0.2","300","100","false","300","18","30348","38698.24","400","852.38","7897.6"
"15","0.02","0.2","300","100","false","300","17","22794","28878.64","400","590.9599999999999","5893.6"
"16","0.02","0.2","300","100","false","300","17","23854","30220.26","400","599.0400000000001","6167.400000000001"
"17","0.02","0.2","300","100","false","300","18","35173","47204.64","500","2897.82","9633.6"
"18","0.02","0.2","300","100","false","300","19","25640","32848.62","300","805.02","6703.8"
"19","0.02","0.2","300","100","false","300","17","25596","33065.2","300","1021.11","6748"
"21","0.03","0.2","300","100","false","300","22","22936","29921.59","400","1215.97","6169.400000000001"
"20","0.02","0.2","300","100","false","300","20","45824","59402.7","800","2255.31","12123"
"22","0.03","0.2","300","100","false","300","18","27858","36401.19","400","1438.24","7505.400000000001"
"23","0.03","0.2","300","100","false","300","20","27168","35178.02","300","1057.04","7253.200000000001"
"24","0.03","0.2","300","100","false","300","21","18127","23019.07","200","346.08","4746.2"
"25","0.03","0.2","300","100","false","300","17","21520","27722.6","300","786.64","5716"
"26","0.03","0.2","300","100","false","300","19","35549","45378.54","600","1073.22","9356.4"
"27","0.03","0.2","300","100","false","300","19","33544","43499.65","500","1486.85","8969"
"28","0.03","0.2","300","100","false","300","17","29122","37792.17","400","1277.87","7792.200000000001"
"29","0.03","0.2","300","100","false","300","18","32059","41692.54","400","1437.29","8596.4"
